LAT,LON,RH2M,DATE
-39,145,77.47,2006-01-05
-39,145.625,75.75,2006-01-05
-38.5,143.125,63.43,2006-01-05
-38.5,143.75,65.65,2006-01-05
-38.5,144.375,74.32,2006-01-05
-38.5,145,72.21,2006-01-05
-38.5,145.625,64.28,2006-01-05
-38,143.125,56.95,2006-01-05
-38,143.75,60.73,2006-01-05
-38,144.375,66.16,2006-01-05
-38,145,66.8,2006-01-05
-38,145.625,58.53,2006-01-05
-40,143.125,76.76,2006-01-06
-40,143.75,76.96,2006-01-06
-40,144.375,75.45,2006-01-06
-40,145,76.52,2006-01-06
-40,145.625,77.57,2006-01-06
-39.5,143.125,73.36,2006-01-06
-39.5,143.75,71.9,2006-01-06
-39.5,144.375,72.13,2006-01-06
-39.5,145,74.15,2006-01-06
-39.5,145.625,74.98,2006-01-06
-39,143.125,73.14,2006-01-06
-39,143.75,69.73,2006-01-06
-39,144.375,72.43,2006-01-06
-39,145,74.02,2006-01-06
-39,145.625,72.85,2006-01-06
-38.5,143.125,65.36,2006-01-06
-38.5,143.75,65.7,2006-01-06
-38.5,144.375,72.41,2006-01-06
-38.5,145,72.94,2006-01-06
-38.5,145.625,69.66,2006-01-06
-38,143.125,58.08,2006-01-06
-38,143.75,63.17,2006-01-06
-38,144.375,68.45,2006-01-06
-38,145,69.76,2006-01-06
-38,145.625,62.4,2006-01-06
-40,143.125,85.4,2006-01-07
-40,143.75,85.16,2006-01-07
-40,144.375,84.42,2006-01-07
-40,145,86.17,2006-01-07
-40,145.625,86.74,2006-01-07
-39.5,143.125,83.84,2006-01-07
-39.5,143.75,81.92,2006-01-07
-39.5,144.375,81.76,2006-01-07
-39.5,145,84.39,2006-01-07
-39.5,145.625,85.33,2006-01-07
-39,143.125,83.28,2006-01-07
-39,143.75,78.45,2006-01-07
-39,144.375,81.61,2006-01-07
-39,145,83.28,2006-01-07
-39,145.625,82.23,2006-01-07
-38.5,143.125,67.74,2006-01-07
-38.5,143.75,69.09,2006-01-07
-38.5,144.375,79.2,2006-01-07
-38.5,145,78.43,2006-01-07
-38.5,145.625,71.25,2006-01-07
-38,143.125,56.38,2006-01-07
-38,143.75,60.7,2006-01-07
-38,144.375,67.06,2006-01-07
-38,145,68.68,2006-01-07
-38,145.625,57.3,2006-01-07
-40,143.125,89.37,2006-01-08
-40,143.75,87.58,2006-01-08
-40,144.375,88.16,2006-01-08
-40,145,89.15,2006-01-08
-40,145.625,89.88,2006-01-08
-39.5,143.125,87.16,2006-01-08
-39.5,143.75,85.36,2006-01-08
-39.5,144.375,88.37,2006-01-08
-39.5,145,89.68,2006-01-08
-39.5,145.625,90.37,2006-01-08
-39,143.125,84.54,2006-01-08
-39,143.75,83.42,2006-01-08
-39,144.375,88.57,2006-01-08
-39,145,87.59,2006-01-08
-39,145.625,84.4,2006-01-08
-38.5,143.125,58.03,2006-01-08
-38.5,143.75,69.25,2006-01-08
-38.5,144.375,80.51,2006-01-08
-38.5,145,77.25,2006-01-08
-38.5,145.625,59.23,2006-01-08
-38,143.125,45.15,2006-01-08
-38,143.75,49.05,2006-01-08
-38,144.375,58.81,2006-01-08
-38,145,58.32,2006-01-08
-38,145.625,40.23,2006-01-08
-40,143.125,93.86,2006-01-09
-40,143.75,93.29,2006-01-09
-40,144.375,93.51,2006-01-09
-40,145,94.54,2006-01-09
-40,145.625,94.6,2006-01-09
-39.5,143.125,93.32,2006-01-09
-39.5,143.75,91.76,2006-01-09
-39.5,144.375,92.51,2006-01-09
-39.5,145,92.02,2006-01-09
-39.5,145.625,91.18,2006-01-09
-39,143.125,93.28,2006-01-09
-39,143.75,87.31,2006-01-09
-39,144.375,89.77,2006-01-09
-39,145,87.86,2006-01-09
-39,145.625,84.51,2006-01-09
-38.5,143.125,76.11,2006-01-09
-38.5,143.75,73,2006-01-09
-38.5,144.375,80.26,2006-01-09
-38.5,145,76.48,2006-01-09
-38.5,145.625,66.16,2006-01-09
-38,143.125,64.52,2006-01-09
-38,143.75,61.89,2006-01-09
-38,144.375,62.94,2006-01-09
-38,145,61.39,2006-01-09
-38,145.625,53.06,2006-01-09
-40,143.125,89.97,2006-01-10
-40,143.75,89.15,2006-01-10
-40,144.375,88.82,2006-01-10
-40,145,90.17,2006-01-10
-40,145.625,91.12,2006-01-10
-39.5,143.125,90.97,2006-01-10
-39.5,143.75,89.02,2006-01-10
-39.5,144.375,90.24,2006-01-10
-39.5,145,91.63,2006-01-10
-39.5,145.625,92.3,2006-01-10
-39,143.125,92.19,2006-01-10
-39,143.75,90.48,2006-01-10
-39,144.375,91.55,2006-01-10
-39,145,92.63,2006-01-10
-39,145.625,92.53,2006-01-10
-38.5,143.125,83.27,2006-01-10
-38.5,143.75,85.53,2006-01-10
-38.5,144.375,91.16,2006-01-10
-38.5,145,90.59,2006-01-10
-38.5,145.625,84.41,2006-01-10
-38,143.125,74.27,2006-01-10
-38,143.75,73.57,2006-01-10
-38,144.375,77.49,2006-01-10
-38,145,77.97,2006-01-10
-38,145.625,69.62,2006-01-10
-40,143.125,73.19,2006-01-11
-40,143.75,70.21,2006-01-11
-40,144.375,70.21,2006-01-11
-40,145,73.44,2006-01-11
-40,145.625,82.86,2006-01-11
-39.5,143.125,73.59,2006-01-11
-39.5,143.75,70.03,2006-01-11
-39.5,144.375,71.9,2006-01-11
-39.5,145,75.95,2006-01-11
-39.5,145.625,82.08,2006-01-11
-39,143.125,79.03,2006-01-11
-39,143.75,74.76,2006-01-11
-39,144.375,75.18,2006-01-11
-39,145,77.73,2006-01-11
-39,145.625,82.28,2006-01-11
-38.5,143.125,72.1,2006-01-11
-38.5,143.75,71.56,2006-01-11
-38.5,144.375,76.81,2006-01-11
-38.5,145,78.73,2006-01-11
-38.5,145.625,83.78,2006-01-11
-38,143.125,65.28,2006-01-11
-38,143.75,70.62,2006-01-11
-38,144.375,75.21,2006-01-11
-38,145,79.29,2006-01-11
-38,145.625,84.5,2006-01-11
-40,143.125,79.13,2006-01-12
-40,143.75,79.23,2006-01-12
-40,144.375,78.67,2006-01-12
-40,145,79.34,2006-01-12
-40,145.625,79.82,2006-01-12
-39.5,143.125,79.82,2006-01-12
-39.5,143.75,79.11,2006-01-12
-39.5,144.375,79.87,2006-01-12
-39.5,145,80.58,2006-01-12
-39.5,145.625,80.89,2006-01-12
-39,143.125,80.26,2006-01-12
-39,143.75,78.79,2006-01-12
-39,144.375,80.52,2006-01-12
-39,145,81.34,2006-01-12
-39,145.625,80.42,2006-01-12
-38.5,143.125,71.22,2006-01-12
-38.5,143.75,69.16,2006-01-12
-38.5,144.375,73.82,2006-01-12
-38.5,145,76.78,2006-01-12
-38.5,145.625,74.41,2006-01-12
-38,143.125,63.34,2006-01-12
-38,143.75,60.46,2006-01-12
-38,144.375,61.94,2006-01-12
-38,145,69.34,2006-01-12
-38,145.625,66.82,2006-01-12
-40,143.125,74.84,2006-01-13
-40,143.75,75.32,2006-01-13
-40,144.375,75.14,2006-01-13
-40,145,76.09,2006-01-13
-40,145.625,76.18,2006-01-13
-39.5,143.125,75.05,2006-01-13
-39.5,143.75,74.37,2006-01-13
-39.5,144.375,74.64,2006-01-13
-39.5,145,76.14,2006-01-13
-39.5,145.625,76.46,2006-01-13
-39,143.125,76.6,2006-01-13
-39,143.75,74.09,2006-01-13
-39,144.375,75.71,2006-01-13
-39,145,76.56,2006-01-13
-39,145.625,75.64,2006-01-13
-38.5,143.125,66.27,2006-01-13
-38.5,143.75,65.76,2006-01-13
-38.5,144.375,73.55,2006-01-13
-38.5,145,73.77,2006-01-13
-38.5,145.625,68.82,2006-01-13
-38,143.125,56.5,2006-01-13
-38,143.75,59.15,2006-01-13
-38,144.375,65.45,2006-01-13
-38,145,67.56,2006-01-13
-38,145.625,62.99,2006-01-13
-40,143.125,79.22,2006-01-14
-40,143.75,78.42,2006-01-14
-40,144.375,77.38,2006-01-14
-40,145,78.32,2006-01-14
-40,145.625,79.67,2006-01-14
-39.5,143.125,80.08,2006-01-14
-39.5,143.75,78.07,2006-01-14
-39.5,144.375,77.96,2006-01-14
-39.5,145,78.4,2006-01-14
-39.5,145.625,78.38,2006-01-14
-39,143.125,80.25,2006-01-14
-39,143.75,77.85,2006-01-14
-39,144.375,78.49,2006-01-14
-39,145,78.08,2006-01-14
-39,145.625,75.92,2006-01-14
-38.5,143.125,69.45,2006-01-14
-38.5,143.75,67.55,2006-01-14
-38.5,144.375,74.57,2006-01-14
-38.5,145,74.44,2006-01-14
-38.5,145.625,68.7,2006-01-14
-38,143.125,58.41,2006-01-14
-38,143.75,57.67,2006-01-14
-38,144.375,64.28,2006-01-14
-38,145,68.8,2006-01-14
-38,145.625,65.99,2006-01-14
-40,143.125,83.31,2006-01-15
-40,143.75,81.88,2006-01-15
-40,144.375,81.96,2006-01-15
-40,145,84.09,2006-01-15
-40,145.625,83.72,2006-01-15
-39.5,143.125,81.75,2006-01-15
-39.5,143.75,80.36,2006-01-15
-39.5,144.375,83.43,2006-01-15
-39.5,145,84.4,2006-01-15
-39.5,145.625,83.39,2006-01-15
-39,143.125,81.81,2006-01-15
-39,143.75,79.6,2006-01-15
-39,144.375,84.42,2006-01-15
-39,145,84.3,2006-01-15
-39,145.625,81.22,2006-01-15
-38.5,143.125,67.59,2006-01-15
-38.5,143.75,71.11,2006-01-15
-38.5,144.375,80.38,2006-01-15
-38.5,145,79.27,2006-01-15
-38.5,145.625,70.39,2006-01-15
-38,143.125,57.43,2006-01-15
-38,143.75,63.82,2006-01-15
-38,144.375,69.67,2006-01-15
-38,145,71.77,2006-01-15
-38,145.625,62.39,2006-01-15
-40,143.125,90.6,2006-01-16
-40,143.75,88.4,2006-01-16
-40,144.375,89.11,2006-01-16
-40,145,90.85,2006-01-16
-40,145.625,92.47,2006-01-16
-39.5,143.125,89.76,2006-01-16
-39.5,143.75,88.35,2006-01-16
-39.5,144.375,91.46,2006-01-16
-39.5,145,92.77,2006-01-16
-39.5,145.625,93.37,2006-01-16
-39,143.125,90.8,2006-01-16
-39,143.75,87.3,2006-01-16
-39,144.375,92.65,2006-01-16
-39,145,93.67,2006-01-16
-39,145.625,90.09,2006-01-16
-38.5,143.125,70.8,2006-01-16
-38.5,143.75,73.82,2006-01-16
-38.5,144.375,87.75,2006-01-16
-38.5,145,85.48,2006-01-16
-38.5,145.625,77.68,2006-01-16
-38,143.125,60.47,2006-01-16
-38,143.75,62.2,2006-01-16
-38,144.375,69.72,2006-01-16
-38,145,74.1,2006-01-16
-38,145.625,72.06,2006-01-16
-40,143.125,80.3,2006-01-17
-40,143.75,80.5,2006-01-17
-40,144.375,80.47,2006-01-17
-40,145,80.44,2006-01-17
-40,145.625,81.47,2006-01-17
-39.5,143.125,80.6,2006-01-17
-39.5,143.75,79.25,2006-01-17
-39.5,144.375,80.16,2006-01-17
-39.5,145,81.86,2006-01-17
-39.5,145.625,82.82,2006-01-17
-39,143.125,80.97,2006-01-17
-39,143.75,77.74,2006-01-17
-39,144.375,80.1,2006-01-17
-39,145,81.99,2006-01-17
-39,145.625,81.93,2006-01-17
-38.5,143.125,65.87,2006-01-17
-38.5,143.75,68.24,2006-01-17
-38.5,144.375,76.71,2006-01-17
-38.5,145,78.15,2006-01-17
-38.5,145.625,75.46,2006-01-17
-38,143.125,56.13,2006-01-17
-38,143.75,62.19,2006-01-17
-38,144.375,67.79,2006-01-17
-38,145,71.39,2006-01-17
-38,145.625,68.78,2006-01-17
-40,143.125,83.59,2006-01-18
-40,143.75,80.9,2006-01-18
-40,144.375,80.36,2006-01-18
-40,145,79.52,2006-01-18
-40,145.625,78.42,2006-01-18
-39.5,143.125,84.07,2006-01-18
-39.5,143.75,81.46,2006-01-18
-39.5,144.375,81.52,2006-01-18
-39.5,145,80.77,2006-01-18
-39.5,145.625,79.62,2006-01-18
-39,143.125,83.84,2006-01-18
-39,143.75,81.69,2006-01-18
-39,144.375,82.44,2006-01-18
-39,145,80.42,2006-01-18
-39,145.625,77.52,2006-01-18
-38.5,143.125,68.47,2006-01-18
-38.5,143.75,74.24,2006-01-18
-38.5,144.375,78.01,2006-01-18
-38.5,145,73.53,2006-01-18
-38.5,145.625,67.89,2006-01-18
-38,143.125,61.19,2006-01-18
-38,143.75,65.34,2006-01-18
-38,144.375,64.8,2006-01-18
-38,145,61.95,2006-01-18
-38,145.625,61.52,2006-01-18
-40,143.125,86.54,2006-01-19
-40,143.75,82.4,2006-01-19
-40,144.375,84.56,2006-01-19
-40,145,86.03,2006-01-19
-40,145.625,86.23,2006-01-19
-39.5,143.125,82.81,2006-01-19
-39.5,143.75,78.97,2006-01-19
-39.5,144.375,82.67,2006-01-19
-39.5,145,84.57,2006-01-19
-39.5,145.625,84.51,2006-01-19
-39,143.125,75.19,2006-01-19
-39,143.75,69.58,2006-01-19
-39,144.375,78.15,2006-01-19
-39,145,76.48,2006-01-19
-39,145.625,75.92,2006-01-19
-38.5,143.125,43.54,2006-01-19
-38.5,143.75,49.65,2006-01-19
-38.5,144.375,60.83,2006-01-19
-38.5,145,62.23,2006-01-19
-38.5,145.625,55.85,2006-01-19
-38,143.125,41.39,2006-01-19
-38,143.75,41.89,2006-01-19
-38,144.375,44.98,2006-01-19
-38,145,50.43,2006-01-19
-38,145.625,46.7,2006-01-19
-40,143.125,91.83,2006-01-20
-40,143.75,89.87,2006-01-20
-40,144.375,86.94,2006-01-20
-40,145,88.17,2006-01-20
-40,145.625,88.43,2006-01-20
-39.5,143.125,90.96,2006-01-20
-39.5,143.75,87.52,2006-01-20
-39.5,144.375,85.83,2006-01-20
-39.5,145,86.42,2006-01-20
-39.5,145.625,86.46,2006-01-20
-39,143.125,91.13,2006-01-20
-39,143.75,82.07,2006-01-20
-39,144.375,83.94,2006-01-20
-39,145,83.42,2006-01-20
-39,145.625,81.44,2006-01-20
-38.5,143.125,64.8,2006-01-20
-38.5,143.75,63.89,2006-01-20
-38.5,144.375,75.92,2006-01-20
-38.5,145,76.44,2006-01-20
-38.5,145.625,68.29,2006-01-20
-38,143.125,51.15,2006-01-20
-38,143.75,54.99,2006-01-20
-38,144.375,61.49,2006-01-20
-38,145,65.43,2006-01-20
-38,145.625,60.09,2006-01-20
-40,143.125,86.91,2006-01-21
-40,143.75,86.5,2006-01-21
-40,144.375,86.91,2006-01-21
-40,145,89.11,2006-01-21
-40,145.625,88.91,2006-01-21
-39.5,143.125,84.78,2006-01-21
-39.5,143.75,83.94,2006-01-21
-39.5,144.375,85.51,2006-01-21
-39.5,145,85.62,2006-01-21
-39.5,145.625,83.99,2006-01-21
-39,143.125,79.84,2006-01-21
-39,143.75,74.2,2006-01-21
-39,144.375,84.7,2006-01-21
-39,145,85.08,2006-01-21
-39,145.625,78.65,2006-01-21
-38.5,143.125,47.48,2006-01-21
-38.5,143.75,52.02,2006-01-21
-38.5,144.375,70.99,2006-01-21
-38.5,145,75.91,2006-01-21
-38.5,145.625,58.97,2006-01-21
-38,143.125,39.53,2006-01-21
-38,143.75,39.48,2006-01-21
-38,144.375,45.44,2006-01-21
-38,145,53.87,2006-01-21
-38,145.625,45.25,2006-01-21
-40,143.125,85.26,2006-01-22
-40,143.75,83.03,2006-01-22
-40,144.375,81.11,2006-01-22
-40,145,82.64,2006-01-22
-40,145.625,82.31,2006-01-22
-39.5,143.125,82.47,2006-01-22
-39.5,143.75,79.85,2006-01-22
-39.5,144.375,80.26,2006-01-22
-39.5,145,80.41,2006-01-22
-39.5,145.625,79.47,2006-01-22
-39,143.125,80.27,2006-01-22
-39,143.75,77.03,2006-01-22
-39,144.375,78.8,2006-01-22
-39,145,78.07,2006-01-22
-39,145.625,74.52,2006-01-22
-38.5,143.125,68.23,2006-01-22
-38.5,143.75,63.76,2006-01-22
-38.5,144.375,69.55,2006-01-22
-38.5,145,70.41,2006-01-22
-38.5,145.625,60.07,2006-01-22
-38,143.125,59.09,2006-01-22
-38,143.75,54.67,2006-01-22
-38,144.375,55.43,2006-01-22
-38,145,57.03,2006-01-22
-38,145.625,49.91,2006-01-22
-40,143.125,76.41,2006-01-23
-40,143.75,75.94,2006-01-23
-40,144.375,75.92,2006-01-23
-40,145,76.74,2006-01-23
-40,145.625,77.43,2006-01-23
-39.5,143.125,76.87,2006-01-23
-39.5,143.75,75.71,2006-01-23
-39.5,144.375,76.8,2006-01-23
-39.5,145,77.55,2006-01-23
-39.5,145.625,78.17,2006-01-23
-39,143.125,77.05,2006-01-23
-39,143.75,73.85,2006-01-23
-39,144.375,76.9,2006-01-23
-39,145,78.23,2006-01-23
-39,145.625,77.27,2006-01-23
-38.5,143.125,63.24,2006-01-23
-38.5,143.75,61.51,2006-01-23
-38.5,144.375,69.42,2006-01-23
-38.5,145,74.39,2006-01-23
-38.5,145.625,72.49,2006-01-23
-38,143.125,53.1,2006-01-23
-38,143.75,53.47,2006-01-23
-38,144.375,59.24,2006-01-23
-38,145,68.27,2006-01-23
-38,145.625,69.25,2006-01-23
-40,143.125,71.86,2006-01-24
-40,143.75,71.65,2006-01-24
-40,144.375,70.83,2006-01-24
-40,145,69.8,2006-01-24
-40,145.625,67.91,2006-01-24
-39.5,143.125,72.83,2006-01-24
-39.5,143.75,70.66,2006-01-24
-39.5,144.375,71.37,2006-01-24
-39.5,145,71.27,2006-01-24
-39.5,145.625,70.39,2006-01-24
-39,143.125,73.19,2006-01-24
-39,143.75,70.37,2006-01-24
-39,144.375,72.44,2006-01-24
-39,145,72.66,2006-01-24
-39,145.625,71.38,2006-01-24
-38.5,143.125,63.9,2006-01-24
-38.5,143.75,64.2,2006-01-24
-38.5,144.375,71.69,2006-01-24
-38.5,145,70.73,2006-01-24
-38.5,145.625,64.06,2006-01-24
-38,143.125,54.85,2006-01-24
-38,143.75,59.52,2006-01-24
-38,144.375,63.02,2006-01-24
-38,145,63.48,2006-01-24
-38,145.625,54.31,2006-01-24
-40,143.125,89.8,2006-01-25
-40,143.75,88.19,2006-01-25
-40,144.375,89.68,2006-01-25
-40,145,89.8,2006-01-25
-40,145.625,89.64,2006-01-25
-39.5,143.125,88,2006-01-25
-39.5,143.75,86.24,2006-01-25
-39.5,144.375,88.24,2006-01-25
-39.5,145,87.62,2006-01-25
-39.5,145.625,88.19,2006-01-25
-39,143.125,81.58,2006-01-25
-39,143.75,76.48,2006-01-25
-39,144.375,84.39,2006-01-25
-39,145,82.57,2006-01-25
-39,145.625,79.54,2006-01-25
-38.5,143.125,45.65,2006-01-25
-38.5,143.75,51.18,2006-01-25
-38.5,144.375,68.52,2006-01-25
-38.5,145,66,2006-01-25
-38.5,145.625,56.98,2006-01-25
-38,143.125,28.01,2006-01-25
-38,143.75,29.49,2006-01-25
-38,144.375,36.61,2006-01-25
-38,145,43.16,2006-01-25
-38,145.625,42.15,2006-01-25
-40,143.125,93.12,2006-01-26
-40,143.75,81.41,2006-01-26
-40,144.375,84.7,2006-01-26
-40,145,92.31,2006-01-26
-40,145.625,92.83,2006-01-26
-39.5,143.125,82.33,2006-01-26
-39.5,143.75,72.35,2006-01-26
-39.5,144.375,78.29,2006-01-26
-39.5,145,82.15,2006-01-26
-39.5,145.625,81.49,2006-01-26
-39,143.125,74.13,2006-01-26
-39,143.75,63.65,2006-01-26
-39,144.375,68.39,2006-01-26
-39,145,67.83,2006-01-26
-39,145.625,70.24,2006-01-26
-38.5,143.125,46.93,2006-01-26
-38.5,143.75,46.43,2006-01-26
-38.5,144.375,57.6,2006-01-26
-38.5,145,62.14,2006-01-26
-38.5,145.625,62.9,2006-01-26
-38,143.125,38.06,2006-01-26
-38,143.75,38.16,2006-01-26
-38,144.375,43.16,2006-01-26
-38,145,55.72,2006-01-26
-38,145.625,57.66,2006-01-26
-40,143.125,87.28,2006-01-27
-40,143.75,86.69,2006-01-27
-40,144.375,86.69,2006-01-27
-40,145,87.3,2006-01-27
-40,145.625,88.25,2006-01-27
-39.5,143.125,87.46,2006-01-27
-39.5,143.75,85.92,2006-01-27
-39.5,144.375,86.47,2006-01-27
-39.5,145,88.16,2006-01-27
-39.5,145.625,88.03,2006-01-27
-39,143.125,88.9,2006-01-27
-39,143.75,84.68,2006-01-27
-39,144.375,86.78,2006-01-27
-39,145,87.64,2006-01-27
-39,145.625,86.79,2006-01-27
-38.5,143.125,73.03,2006-01-27
-38.5,143.75,69.49,2006-01-27
-38.5,144.375,80.65,2006-01-27
-38.5,145,83.97,2006-01-27
-38.5,145.625,76.99,2006-01-27
-38,143.125,60.89,2006-01-27
-38,143.75,58.53,2006-01-27
-38,144.375,67.82,2006-01-27
-38,145,73.28,2006-01-27
-38,145.625,69.08,2006-01-27
-40,143.125,87.6,2006-01-28
-40,143.75,85.98,2006-01-28
-40,144.375,87.61,2006-01-28
-40,145,88.16,2006-01-28
-40,145.625,89.61,2006-01-28
-39.5,143.125,90.78,2006-01-28
-39.5,143.75,88.42,2006-01-28
-39.5,144.375,91.61,2006-01-28
-39.5,145,92.2,2006-01-28
-39.5,145.625,91.02,2006-01-28
-39,143.125,93.05,2006-01-28
-39,143.75,90.73,2006-01-28
-39,144.375,93.58,2006-01-28
-39,145,93.3,2006-01-28
-39,145.625,91.29,2006-01-28
-38.5,143.125,76.84,2006-01-28
-38.5,143.75,84.48,2006-01-28
-38.5,144.375,91.17,2006-01-28
-38.5,145,89.96,2006-01-28
-38.5,145.625,86.02,2006-01-28
-38,143.125,69.36,2006-01-28
-38,143.75,74.48,2006-01-28
-38,144.375,78.19,2006-01-28
-38,145,82.35,2006-01-28
-38,145.625,77.13,2006-01-28
-40,143.125,87.45,2006-01-29
-40,143.75,88.27,2006-01-29
-40,144.375,88.73,2006-01-29
-40,145,90.77,2006-01-29
-40,145.625,91.74,2006-01-29
-39.5,143.125,88.69,2006-01-29
-39.5,143.75,88.22,2006-01-29
-39.5,144.375,89.96,2006-01-29
-39.5,145,91.72,2006-01-29
-39.5,145.625,92.36,2006-01-29
-39,143.125,89.75,2006-01-29
-39,143.75,89.76,2006-01-29
-39,144.375,91.14,2006-01-29
-39,145,92.06,2006-01-29
-39,145.625,91.45,2006-01-29
-38.5,143.125,85.69,2006-01-29
-38.5,143.75,86.03,2006-01-29
-38.5,144.375,90.67,2006-01-29
-38.5,145,89.22,2006-01-29
-38.5,145.625,85.45,2006-01-29
-38,143.125,79.6,2006-01-29
-38,143.75,76.36,2006-01-29
-38,144.375,77.27,2006-01-29
-38,145,80.65,2006-01-29
-38,145.625,78.85,2006-01-29
-40,143.125,76.04,2006-01-30
-40,143.75,76.13,2006-01-30
-40,144.375,74.66,2006-01-30
-40,145,73.62,2006-01-30
-40,145.625,71.48,2006-01-30
-39.5,143.125,75.47,2006-01-30
-39.5,143.75,74.47,2006-01-30
-39.5,144.375,73.76,2006-01-30
-39.5,145,73.8,2006-01-30
-39.5,145.625,72.95,2006-01-30
-39,143.125,74.08,2006-01-30
-39,143.75,72.8,2006-01-30
-39,144.375,73.68,2006-01-30
-39,145,73.88,2006-01-30
-39,145.625,73.35,2006-01-30
-38.5,143.125,65.41,2006-01-30
-38.5,143.75,66.04,2006-01-30
-38.5,144.375,71.24,2006-01-30
-38.5,145,72.08,2006-01-30
-38.5,145.625,72.4,2006-01-30
-38,143.125,61.3,2006-01-30
-38,143.75,59.76,2006-01-30
-38,144.375,63.65,2006-01-30
-38,145,69.65,2006-01-30
-38,145.625,70.33,2006-01-30
-40,143.125,84.93,2006-01-31
-40,143.75,83.87,2006-01-31
-40,144.375,83.57,2006-01-31
-40,145,83.92,2006-01-31
-40,145.625,83.6,2006-01-31
-39.5,143.125,85.65,2006-01-31
-39.5,143.75,84.34,2006-01-31
-39.5,144.375,84.89,2006-01-31
-39.5,145,84.74,2006-01-31
