LAT,LON,PRECTOTCORR,DATE
-38.5,143.75,0.01,2006-01-04
-38.5,144.375,0.01,2006-01-04
-38.5,145,0.01,2006-01-04
-38.5,145.625,0,2006-01-04
-38,143.125,0,2006-01-04
-38,143.75,0,2006-01-04
-38,144.375,0,2006-01-04
-38,145,0,2006-01-04
-38,145.625,0,2006-01-04
-40,143.125,0,2006-01-05
-40,143.75,0.11,2006-01-05
-40,144.375,0.14,2006-01-05
-40,145,0.24,2006-01-05
-40,145.625,0.23,2006-01-05
-39.5,143.125,0,2006-01-05
-39.5,143.75,0.08,2006-01-05
-39.5,144.375,0.17,2006-01-05
-39.5,145,0.38,2006-01-05
-39.5,145.625,0.28,2006-01-05
-39,143.125,0,2006-01-05
-39,143.75,0.01,2006-01-05
-39,144.375,0.07,2006-01-05
-39,145,0.08,2006-01-05
-39,145.625,0.09,2006-01-05
-38.5,143.125,0,2006-01-05
-38.5,143.75,0,2006-01-05
-38.5,144.375,0,2006-01-05
-38.5,145,0.01,2006-01-05
-38.5,145.625,0.01,2006-01-05
-38,143.125,0,2006-01-05
-38,143.75,0,2006-01-05
-38,144.375,0,2006-01-05
-38,145,0,2006-01-05
-38,145.625,0.01,2006-01-05
-40,143.125,0,2006-01-06
-40,143.75,0,2006-01-06
-40,144.375,0,2006-01-06
-40,145,0,2006-01-06
-40,145.625,0,2006-01-06
-39.5,143.125,0,2006-01-06
-39.5,143.75,0,2006-01-06
-39.5,144.375,0,2006-01-06
-39.5,145,0,2006-01-06
-39.5,145.625,0,2006-01-06
-39,143.125,0,2006-01-06
-39,143.75,0,2006-01-06
-39,144.375,0,2006-01-06
-39,145,0,2006-01-06
-39,145.625,0.01,2006-01-06
-38.5,143.125,0,2006-01-06
-38.5,143.75,0,2006-01-06
-38.5,144.375,0,2006-01-06
-38.5,145,0,2006-01-06
-38.5,145.625,0.01,2006-01-06
-38,143.125,0,2006-01-06
-38,143.75,0,2006-01-06
-38,144.375,0,2006-01-06
-38,145,0,2006-01-06
-38,145.625,0.01,2006-01-06
-40,143.125,0.18,2006-01-07
-40,143.75,0.1,2006-01-07
-40,144.375,0.04,2006-01-07
-40,145,0.03,2006-01-07
-40,145.625,0,2006-01-07
-39.5,143.125,0.02,2006-01-07
-39.5,143.75,0.01,2006-01-07
-39.5,144.375,0.02,2006-01-07
-39.5,145,0.01,2006-01-07
-39.5,145.625,0,2006-01-07
-39,143.125,0,2006-01-07
-39,143.75,0.01,2006-01-07
-39,144.375,0.01,2006-01-07
-39,145,0,2006-01-07
-39,145.625,0,2006-01-07
-38.5,143.125,0.01,2006-01-07
-38.5,143.75,0,2006-01-07
-38.5,144.375,0,2006-01-07
-38.5,145,0,2006-01-07
-38.5,145.625,0,2006-01-07
-38,143.125,0.01,2006-01-07
-38,143.75,0,2006-01-07
-38,144.375,0,2006-01-07
-38,145,0,2006-01-07
-38,145.625,0,2006-01-07
-40,143.125,4.11,2006-01-08
-40,143.75,3.25,2006-01-08
-40,144.375,2.43,2006-01-08
-40,145,2.87,2006-01-08
-40,145.625,1.63,2006-01-08
-39.5,143.125,2.61,2006-01-08
-39.5,143.75,1.92,2006-01-08
-39.5,144.375,1.95,2006-01-08
-39.5,145,2.25,2006-01-08
-39.5,145.625,1.69,2006-01-08
-39,143.125,0.87,2006-01-08
-39,143.75,1.04,2006-01-08
-39,144.375,1.02,2006-01-08
-39,145,0.65,2006-01-08
-39,145.625,0.5,2006-01-08
-38.5,143.125,0.16,2006-01-08
-38.5,143.75,0.22,2006-01-08
-38.5,144.375,0.14,2006-01-08
-38.5,145,0.27,2006-01-08
-38.5,145.625,0.07,2006-01-08
-38,143.125,0.03,2006-01-08
-38,143.75,0.02,2006-01-08
-38,144.375,0.08,2006-01-08
-38,145,0.23,2006-01-08
-38,145.625,0.15,2006-01-08
-40,143.125,0.51,2006-01-09
-40,143.75,0.61,2006-01-09
-40,144.375,0.78,2006-01-09
-40,145,0.76,2006-01-09
-40,145.625,0.51,2006-01-09
-39.5,143.125,0.19,2006-01-09
-39.5,143.75,0.2,2006-01-09
-39.5,144.375,0.23,2006-01-09
-39.5,145,0.18,2006-01-09
-39.5,145.625,0.29,2006-01-09
-39,143.125,0.09,2006-01-09
-39,143.75,0.08,2006-01-09
-39,144.375,0.06,2006-01-09
-39,145,0.09,2006-01-09
-39,145.625,0.13,2006-01-09
-38.5,143.125,0.13,2006-01-09
-38.5,143.75,0.08,2006-01-09
-38.5,144.375,0.07,2006-01-09
-38.5,145,0.12,2006-01-09
-38.5,145.625,0.08,2006-01-09
-38,143.125,0.08,2006-01-09
-38,143.75,0.13,2006-01-09
-38,144.375,0.2,2006-01-09
-38,145,0.15,2006-01-09
-38,145.625,0.04,2006-01-09
-40,143.125,5.37,2006-01-10
-40,143.75,5.98,2006-01-10
-40,144.375,5.12,2006-01-10
-40,145,8.4,2006-01-10
-40,145.625,11.04,2006-01-10
-39.5,143.125,3.86,2006-01-10
-39.5,143.75,4.45,2006-01-10
-39.5,144.375,5.65,2006-01-10
-39.5,145,10.75,2006-01-10
-39.5,145.625,16.4,2006-01-10
-39,143.125,2.15,2006-01-10
-39,143.75,4.6,2006-01-10
-39,144.375,6.06,2006-01-10
-39,145,7.94,2006-01-10
-39,145.625,12.93,2006-01-10
-38.5,143.125,1.78,2006-01-10
-38.5,143.75,4.73,2006-01-10
-38.5,144.375,5.6,2006-01-10
-38.5,145,8.5,2006-01-10
-38.5,145.625,11.75,2006-01-10
-38,143.125,3.35,2006-01-10
-38,143.75,6.09,2006-01-10
-38,144.375,7.31,2006-01-10
-38,145,9.4,2006-01-10
-38,145.625,12.25,2006-01-10
-40,143.125,0.01,2006-01-11
-40,143.75,0.04,2006-01-11
-40,144.375,0.07,2006-01-11
-40,145,0.24,2006-01-11
-40,145.625,0.78,2006-01-11
-39.5,143.125,0,2006-01-11
-39.5,143.75,0.02,2006-01-11
-39.5,144.375,0.02,2006-01-11
-39.5,145,0.36,2006-01-11
-39.5,145.625,1.26,2006-01-11
-39,143.125,0.03,2006-01-11
-39,143.75,0.06,2006-01-11
-39,144.375,0.06,2006-01-11
-39,145,0.23,2006-01-11
-39,145.625,2,2006-01-11
-38.5,143.125,0.05,2006-01-11
-38.5,143.75,0.22,2006-01-11
-38.5,144.375,0.28,2006-01-11
-38.5,145,0.7,2006-01-11
-38.5,145.625,2.52,2006-01-11
-38,143.125,0.1,2006-01-11
-38,143.75,0.43,2006-01-11
-38,144.375,0.68,2006-01-11
-38,145,1.68,2006-01-11
-38,145.625,3.56,2006-01-11
-40,143.125,0.39,2006-01-12
-40,143.75,0.35,2006-01-12
-40,144.375,0.31,2006-01-12
-40,145,0.29,2006-01-12
-40,145.625,0.17,2006-01-12
-39.5,143.125,0.4,2006-01-12
-39.5,143.75,0.37,2006-01-12
-39.5,144.375,0.33,2006-01-12
-39.5,145,0.34,2006-01-12
-39.5,145.625,0.33,2006-01-12
-39,143.125,0.49,2006-01-12
-39,143.75,0.48,2006-01-12
-39,144.375,0.44,2006-01-12
-39,145,0.31,2006-01-12
-39,145.625,0.25,2006-01-12
-38.5,143.125,0.26,2006-01-12
-38.5,143.75,0.39,2006-01-12
-38.5,144.375,0.4,2006-01-12
-38.5,145,0.38,2006-01-12
-38.5,145.625,0.25,2006-01-12
-38,143.125,0.11,2006-01-12
-38,143.75,0.17,2006-01-12
-38,144.375,0.23,2006-01-12
-38,145,0.48,2006-01-12
-38,145.625,0.4,2006-01-12
-40,143.125,0.01,2006-01-13
-40,143.75,0,2006-01-13
-40,144.375,0,2006-01-13
-40,145,0,2006-01-13
-40,145.625,0,2006-01-13
-39.5,143.125,0,2006-01-13
-39.5,143.75,0,2006-01-13
-39.5,144.375,0,2006-01-13
-39.5,145,0,2006-01-13
-39.5,145.625,0,2006-01-13
-39,143.125,0,2006-01-13
-39,143.75,0,2006-01-13
-39,144.375,0,2006-01-13
-39,145,0,2006-01-13
-39,145.625,0,2006-01-13
-38.5,143.125,0,2006-01-13
-38.5,143.75,0,2006-01-13
-38.5,144.375,0.01,2006-01-13
-38.5,145,0,2006-01-13
-38.5,145.625,0,2006-01-13
-38,143.125,0,2006-01-13
-38,143.75,0,2006-01-13
-38,144.375,0,2006-01-13
-38,145,0,2006-01-13
-38,145.625,0,2006-01-13
-40,143.125,0.11,2006-01-14
-40,143.75,0.06,2006-01-14
-40,144.375,0.03,2006-01-14
-40,145,0.05,2006-01-14
-40,145.625,0.06,2006-01-14
-39.5,143.125,0.08,2006-01-14
-39.5,143.75,0.05,2006-01-14
-39.5,144.375,0.04,2006-01-14
-39.5,145,0.05,2006-01-14
-39.5,145.625,0.05,2006-01-14
-39,143.125,0.03,2006-01-14
-39,143.75,0.04,2006-01-14
-39,144.375,0.04,2006-01-14
-39,145,0.03,2006-01-14
-39,145.625,0.02,2006-01-14
-38.5,143.125,0,2006-01-14
-38.5,143.75,0.01,2006-01-14
-38.5,144.375,0,2006-01-14
-38.5,145,0,2006-01-14
-38.5,145.625,0,2006-01-14
-38,143.125,0,2006-01-14
-38,143.75,0,2006-01-14
-38,144.375,0,2006-01-14
-38,145,0,2006-01-14
-38,145.625,0,2006-01-14
-40,143.125,0.08,2006-01-15
-40,143.75,0.2,2006-01-15
-40,144.375,0.2,2006-01-15
-40,145,0.46,2006-01-15
-40,145.625,0.7,2006-01-15
-39.5,143.125,0.09,2006-01-15
-39.5,143.75,0.13,2006-01-15
-39.5,144.375,0.22,2006-01-15
-39.5,145,0.42,2006-01-15
-39.5,145.625,0.99,2006-01-15
-39,143.125,0.14,2006-01-15
-39,143.75,0.23,2006-01-15
-39,144.375,0.26,2006-01-15
-39,145,0.13,2006-01-15
-39,145.625,0.23,2006-01-15
-38.5,143.125,0.04,2006-01-15
-38.5,143.75,0.08,2006-01-15
-38.5,144.375,0.02,2006-01-15
-38.5,145,0.01,2006-01-15
-38.5,145.625,0,2006-01-15
-38,143.125,0.03,2006-01-15
-38,143.75,0,2006-01-15
-38,144.375,0,2006-01-15
-38,145,0,2006-01-15
-38,145.625,0,2006-01-15
-40,143.125,0.02,2006-01-16
-40,143.75,0.06,2006-01-16
-40,144.375,0.08,2006-01-16
-40,145,0.11,2006-01-16
-40,145.625,0.18,2006-01-16
-39.5,143.125,0.03,2006-01-16
-39.5,143.75,0.06,2006-01-16
-39.5,144.375,0.09,2006-01-16
-39.5,145,0.13,2006-01-16
-39.5,145.625,0.23,2006-01-16
-39,143.125,0.13,2006-01-16
-39,143.75,0.15,2006-01-16
-39,144.375,0.16,2006-01-16
-39,145,0.17,2006-01-16
-39,145.625,0.4,2006-01-16
-38.5,143.125,0.19,2006-01-16
-38.5,143.75,0.25,2006-01-16
-38.5,144.375,0.31,2006-01-16
-38.5,145,0.22,2006-01-16
-38.5,145.625,0.51,2006-01-16
-38,143.125,0.15,2006-01-16
-38,143.75,0.16,2006-01-16
-38,144.375,0.15,2006-01-16
-38,145,0.12,2006-01-16
-38,145.625,0.33,2006-01-16
-40,143.125,0.21,2006-01-17
-40,143.75,0.25,2006-01-17
-40,144.375,0.38,2006-01-17
-40,145,0.42,2006-01-17
-40,145.625,0.43,2006-01-17
-39.5,143.125,0.1,2006-01-17
-39.5,143.75,0.18,2006-01-17
-39.5,144.375,0.19,2006-01-17
-39.5,145,0.19,2006-01-17
-39.5,145.625,0.25,2006-01-17
-39,143.125,0.03,2006-01-17
-39,143.75,0.09,2006-01-17
-39,144.375,0.11,2006-01-17
-39,145,0.07,2006-01-17
-39,145.625,0.07,2006-01-17
-38.5,143.125,0,2006-01-17
-38.5,143.75,0.02,2006-01-17
-38.5,144.375,0.01,2006-01-17
-38.5,145,0.01,2006-01-17
-38.5,145.625,0.03,2006-01-17
-38,143.125,0,2006-01-17
-38,143.75,0,2006-01-17
-38,144.375,0,2006-01-17
-38,145,0,2006-01-17
-38,145.625,0.03,2006-01-17
-40,143.125,0.05,2006-01-18
-40,143.75,0.02,2006-01-18
-40,144.375,0.02,2006-01-18
-40,145,0.03,2006-01-18
-40,145.625,0.01,2006-01-18
-39.5,143.125,0.01,2006-01-18
-39.5,143.75,0.01,2006-01-18
-39.5,144.375,0.01,2006-01-18
-39.5,145,0.01,2006-01-18
-39.5,145.625,0.01,2006-01-18
-39,143.125,0.01,2006-01-18
-39,143.75,0,2006-01-18
-39,144.375,0,2006-01-18
-39,145,0,2006-01-18
-39,145.625,0,2006-01-18
-38.5,143.125,0,2006-01-18
-38.5,143.75,0,2006-01-18
-38.5,144.375,0,2006-01-18
-38.5,145,0,2006-01-18
-38.5,145.625,0.02,2006-01-18
-38,143.125,0,2006-01-18
-38,143.75,0,2006-01-18
-38,144.375,0,2006-01-18
-38,145,0,2006-01-18
-38,145.625,0.03,2006-01-18
-40,143.125,0.02,2006-01-19
-40,143.75,0.04,2006-01-19
-40,144.375,0.06,2006-01-19
-40,145,0.13,2006-01-19
-40,145.625,0.23,2006-01-19
-39.5,143.125,0.03,2006-01-19
-39.5,143.75,0.05,2006-01-19
-39.5,144.375,0.05,2006-01-19
-39.5,145,0.06,2006-01-19
-39.5,145.625,0.11,2006-01-19
-39,143.125,0.05,2006-01-19
-39,143.75,0.06,2006-01-19
-39,144.375,0.07,2006-01-19
-39,145,0.06,2006-01-19
-39,145.625,0.14,2006-01-19
-38.5,143.125,0.2,2006-01-19
-38.5,143.75,0.15,2006-01-19
-38.5,144.375,0.15,2006-01-19
-38.5,145,0.14,2006-01-19
-38.5,145.625,0.08,2006-01-19
-38,143.125,0.79,2006-01-19
-38,143.75,0.33,2006-01-19
-38,144.375,0.35,2006-01-19
-38,145,0.23,2006-01-19
-38,145.625,0.05,2006-01-19
-40,143.125,0.1,2006-01-20
-40,143.75,0.02,2006-01-20
-40,144.375,0.05,2006-01-20
-40,145,0.04,2006-01-20
-40,145.625,0.02,2006-01-20
-39.5,143.125,0.03,2006-01-20
-39.5,143.75,0.03,2006-01-20
-39.5,144.375,0.02,2006-01-20
-39.5,145,0.03,2006-01-20
-39.5,145.625,0.13,2006-01-20
-39,143.125,0.22,2006-01-20
-39,143.75,0.44,2006-01-20
-39,144.375,0.45,2006-01-20
-39,145,0.34,2006-01-20
-39,145.625,0.59,2006-01-20
-38.5,143.125,0.63,2006-01-20
-38.5,143.75,1.37,2006-01-20
-38.5,144.375,1.57,2006-01-20
-38.5,145,1.81,2006-01-20
-38.5,145.625,0.87,2006-01-20
-38,143.125,2.12,2006-01-20
-38,143.75,2.97,2006-01-20
-38,144.375,2.95,2006-01-20
-38,145,2.61,2006-01-20
-38,145.625,0.99,2006-01-20
-40,143.125,0.06,2006-01-21
-40,143.75,0.02,2006-01-21
-40,144.375,0.02,2006-01-21
-40,145,0.01,2006-01-21
-40,145.625,0,2006-01-21
-39.5,143.125,0,2006-01-21
-39.5,143.75,0.01,2006-01-21
-39.5,144.375,0.01,2006-01-21
-39.5,145,0,2006-01-21
-39.5,145.625,0.02,2006-01-21
-39,143.125,0.01,2006-01-21
-39,143.75,0.02,2006-01-21
-39,144.375,0.02,2006-01-21
-39,145,0.04,2006-01-21
-39,145.625,0.09,2006-01-21
-38.5,143.125,0.05,2006-01-21
-38.5,143.75,0.1,2006-01-21
-38.5,144.375,0.08,2006-01-21
-38.5,145,0.18,2006-01-21
-38.5,145.625,0.15,2006-01-21
-38,143.125,0.25,2006-01-21
-38,143.75,0.59,2006-01-21
-38,144.375,0.73,2006-01-21
-38,145,1.16,2006-01-21
-38,145.625,0.55,2006-01-21
-40,143.125,1.71,2006-01-22
-40,143.75,2.48,2006-01-22
-40,144.375,3.13,2006-01-22
-40,145,2.49,2006-01-22
-40,145.625,0.77,2006-01-22
-39.5,143.125,0.44,2006-01-22
-39.5,143.75,0.57,2006-01-22
-39.5,144.375,1.04,2006-01-22
-39.5,145,0.44,2006-01-22
-39.5,145.625,0.28,2006-01-22
-39,143.125,0.76,2006-01-22
-39,143.75,0.59,2006-01-22
-39,144.375,0.6,2006-01-22
-39,145,0.7,2006-01-22
-39,145.625,0.24,2006-01-22
-38.5,143.125,0.86,2006-01-22
-38.5,143.75,0.44,2006-01-22
-38.5,144.375,0.24,2006-01-22
-38.5,145,0.39,2006-01-22
-38.5,145.625,0.25,2006-01-22
-38,143.125,0.64,2006-01-22
-38,143.75,0.21,2006-01-22
-38,144.375,0.09,2006-01-22
-38,145,0.21,2006-01-22
-38,145.625,0.12,2006-01-22
-40,143.125,0.88,2006-01-23
-40,143.75,0.51,2006-01-23
-40,144.375,0.39,2006-01-23
-40,145,0.28,2006-01-23
-40,145.625,0.05,2006-01-23
-39.5,143.125,0.21,2006-01-23
-39.5,143.75,0.14,2006-01-23
-39.5,144.375,0.14,2006-01-23
-39.5,145,0.07,2006-01-23
-39.5,145.625,0.01,2006-01-23
-39,143.125,0.1,2006-01-23
-39,143.75,0.08,2006-01-23
-39,144.375,0.08,2006-01-23
-39,145,0.05,2006-01-23
-39,145.625,0.01,2006-01-23
-38.5,143.125,0.04,2006-01-23
-38.5,143.75,0.04,2006-01-23
-38.5,144.375,0.03,2006-01-23
-38.5,145,0.02,2006-01-23
-38.5,145.625,0.03,2006-01-23
-38,143.125,0.01,2006-01-23
-38,143.75,0.01,2006-01-23
-38,144.375,0.01,2006-01-23
-38,145,0.02,2006-01-23
-38,145.625,0.07,2006-01-23
-40,143.125,0,2006-01-24
-40,143.75,0,2006-01-24
-40,144.375,0,2006-01-24
-40,145,0,2006-01-24
-40,145.625,0,2006-01-24
-39.5,143.125,0,2006-01-24
-39.5,143.75,0,2006-01-24
-39.5,144.375,0,2006-01-24
-39.5,145,0,2006-01-24
-39.5,145.625,0,2006-01-24
-39,143.125,0,2006-01-24
-39,143.75,0,2006-01-24
-39,144.375,0,2006-01-24
-39,145,0,2006-01-24
-39,145.625,0,2006-01-24
-38.5,143.125,0,2006-01-24
-38.5,143.75,0,2006-01-24
-38.5,144.375,0,2006-01-24
-38.5,145,0,2006-01-24
-38.5,145.625,0,2006-01-24
-38,143.125,0,2006-01-24
-38,143.75,0,2006-01-24
-38,144.375,0,2006-01-24
-38,145,0,2006-01-24
-38,145.625,0,2006-01-24
-40,143.125,0.03,2006-01-25
-40,143.75,0.03,2006-01-25
-40,144.375,0.04,2006-01-25
-40,145,0.02,2006-01-25
-40,145.625,0,2006-01-25
-39.5,143.125,0.01,2006-01-25
-39.5,143.75,0.01,2006-01-25
-39.5,144.375,0.01,2006-01-25
-39.5,145,0,2006-01-25
-39.5,145.625,0.12,2006-01-25
-39,143.125,0,2006-01-25
-39,143.75,0,2006-01-25
-39,144.375,0,2006-01-25
-39,145,0.07,2006-01-25
-39,145.625,0.49,2006-01-25
-38.5,143.125,0.02,2006-01-25
-38.5,143.75,0.02,2006-01-25
-38.5,144.375,0.01,2006-01-25
-38.5,145,0.09,2006-01-25
-38.5,145.625,0.41,2006-01-25
-38,143.125,0.04,2006-01-25
-38,143.75,0.04,2006-01-25
-38,144.375,0.06,2006-01-25
-38,145,0.1,2006-01-25
-38,145.625,0.18,2006-01-25
-40,143.125,0.25,2006-01-26
-40,143.75,0.78,2006-01-26
-40,144.375,1.11,2006-01-26
-40,145,1.79,2006-01-26
-40,145.625,4.71,2006-01-26
-39.5,143.125,0.81,2006-01-26
-39.5,143.75,1.55,2006-01-26
-39.5,144.375,1.95,2006-01-26
-39.5,145,3.72,2006-01-26
-39.5,145.625,10.28,2006-01-26
-39,143.125,0.69,2006-01-26
-39,143.75,1.67,2006-01-26
-39,144.375,2.72,2006-01-26
-39,145,7.22,2006-01-26
-39,145.625,14.08,2006-01-26
-38.5,143.125,0.61,2006-01-26
-38.5,143.75,1.26,2006-01-26
-38.5,144.375,1.56,2006-01-26
-38.5,145,6.28,2006-01-26
-38.5,145.625,11.34,2006-01-26
-38,143.125,0.9,2006-01-26
-38,143.75,1.51,2006-01-26
-38,144.375,1.97,2006-01-26
-38,145,4.88,2006-01-26
-38,145.625,6.22,2006-01-26
-40,143.125,0.19,2006-01-27
-40,143.75,0.06,2006-01-27
-40,144.375,0,2006-01-27
-40,145,0,2006-01-27
-40,145.625,0,2006-01-27
-39.5,143.125,0.07,2006-01-27
-39.5,143.75,0.01,2006-01-27
-39.5,144.375,0,2006-01-27
-39.5,145,0.04,2006-01-27
-39.5,145.625,0.33,2006-01-27
-39,143.125,0.09,2006-01-27
-39,143.75,0.23,2006-01-27
-39,144.375,0.26,2006-01-27
-39,145,1.08,2006-01-27
-39,145.625,2.37,2006-01-27
-38.5,143.125,0.23,2006-01-27
-38.5,143.75,1,2006-01-27
-38.5,144.375,1.01,2006-01-27
-38.5,145,3.14,2006-01-27
-38.5,145.625,5.17,2006-01-27
-38,143.125,0.93,2006-01-27
-38,143.75,2.47,2006-01-27
-38,144.375,3.46,2006-01-27
-38,145,4.88,2006-01-27
-38,145.625,7.1,2006-01-27
-40,143.125,17.96,2006-01-28
-40,143.75,8.94,2006-01-28
-40,144.375,3.16,2006-01-28
-40,145,2.44,2006-01-28
-40,145.625,1.38,2006-01-28
-39.5,143.125,13.97,2006-01-28
-39.5,143.75,4.63,2006-01-28
-39.5,144.375,2.68,2006-01-28
-39.5,145,2,2006-01-28
-39.5,145.625,3.12,2006-01-28
-39,143.125,7.88,2006-01-28
-39,143.75,5.14,2006-01-28
-39,144.375,3.49,2006-01-28
-39,145,3.34,2006-01-28
-39,145.625,3.01,2006-01-28
-38.5,143.125,8.46,2006-01-28
-38.5,143.75,8.11,2006-01-28
-38.5,144.375,8.61,2006-01-28
-38.5,145,6.11,2006-01-28
-38.5,145.625,4.31,2006-01-28
-38,143.125,11.88,2006-01-28
-38,143.75,10.85,2006-01-28
-38,144.375,9.94,2006-01-28
-38,145,7.09,2006-01-28
-38,145.625,5.2,2006-01-28
-40,143.125,3.43,2006-01-29
-40,143.75,11.56,2006-01-29
-40,144.375,14.45,2006-01-29
-40,145,17.42,2006-01-29
-40,145.625,9.29,2006-01-29
-39.5,143.125,7.68,2006-01-29
-39.5,143.75,14.35,2006-01-29
-39.5,144.375,17.2,2006-01-29
-39.5,145,14.58,2006-01-29
-39.5,145.625,6.71,2006-01-29
-39,143.125,8.61,2006-01-29
-39,143.75,11.42,2006-01-29
-39,144.375,10.51,2006-01-29
-39,145,5.76,2006-01-29
-39,145.625,5.37,2006-01-29
-38.5,143.125,10.5,2006-01-29
-38.5,143.75,10.37,2006-01-29
-38.5,144.375,10.57,2006-01-29
-38.5,145,4.24,2006-01-29
-38.5,145.625,7.79,2006-01-29
-38,143.125,10.35,2006-01-29
-38,143.75,7.63,2006-01-29
-38,144.375,5.65,2006-01-29
-38,145,6.26,2006-01-29
-38,145.625,12.36,2006-01-29
-40,143.125,0.29,2006-01-30
-40,143.75,0.2,2006-01-30
-40,144.375,0.18,2006-01-30
-40,145,0.22,2006-01-30
-40,145.625,0.53,2006-01-30
-39.5,143.125,0.38,2006-01-30
-39.5,143.75,0.3,2006-01-30
-39.5,144.375,0.29,2006-01-30
-39.5,145,0.49,2006-01-30
-39.5,145.625,1,2006-01-30
-39,143.125,0.38,2006-01-30
-39,143.75,0.32,2006-01-30
-39,144.375,0.33,2006-01-30
-39,145,0.31,2006-01-30
-39,145.625,0.52,2006-01-30
-38.5,143.125,0.16,2006-01-30
-38.5,143.75,0.31,2006-01-30
-38.5,144.375,0.36,2006-01-30
-38.5,145,0.54,2006-01-30
-38.5,145.625,0.77,2006-01-30
-38,143.125,0.11,2006-01-30
-38,143.75,0.26,2006-01-30
-38,144.375,0.35,2006-01-30
-38,145,0.75,2006-01-30
-38,145.625,1.35,2006-01-30
-40,143.125,4.08,2006-01-31
-40,143.75,6.74,2006-01-31
-40,144.375,7.67,2006-01-31
-40,145,5.46,2006-01-31
-40,145.625,4.5,2006-01-31
-39.5,143.125,5.18,2006-01-31
-39.5,143.75,7.01,2006-01-31
-39.5,144.375,7.3,2006-01-31
-39.5,145,5.72,2006-01-31
-39.5,145.625,3.64,2006-01-31
-39,143.125,4.41,2006-01-31
-39,143.75,4.98,2006-01-31
-39,144.375,5.78,2006-01-31
-39,145,4.11,2006-01-31
-39,145.625,2.04,2006-01-31
-38.5,143.125,1.86,2006-01-31
-38.5,143.75,2.2,2006-01-31
-38.5,144.375,1.61,2006-01-31
-38.5,145,1.89,2006-01-31
-38.5,145.625,1.41,2006-01-31
-38,143.125,1.2,2006-01-31
-38,143.75,1.36,2006-01-31
-38,144.375,1.39,2006-01-31
-38,145,1.15,2006-01-31
