DATE,PATHWAYS_COUNT,PATHWAY
2006-04-25,310,West
2006-04-26,124,Center
2006-04-26,291,East
2006-04-26,54,Far West
2006-04-26,480,West
2006-04-27,88,Center
2006-04-27,176,East
2006-04-27,248,Far West
2006-04-27,343,West
2006-04-28,59,Center
2006-04-28,309,East
2006-04-28,160,Far West
2006-04-28,256,West
2006-04-29,64,Center
2006-04-29,311,East
2006-04-29,191,Far West
2006-04-29,336,West
2006-04-30,399,Center
2006-04-30,53,East
2006-04-30,117,Far West
2006-04-30,272,West
2006-05-01,263,Center
2006-05-01,523,East
2006-05-01,34,Far West
2006-05-01,84,West
2006-05-02,187,Center
2006-05-02,234,East
2006-05-02,114,Far West
2006-05-02,370,West
2006-05-03,564,Center
2006-05-03,291,East
2006-05-03,102,Far West
2006-05-03,3,West
2006-05-04,218,Center
2006-05-04,344,East
2006-05-04,44,Far West
2006-05-04,272,West
2006-05-05,81,Center
2006-05-05,97,East
2006-05-05,592,Far West
2006-05-05,106,West
2006-05-06,567,Center
2006-05-06,456,East
2006-05-06,62,Far West
2006-05-06,10,West
2006-05-07,35,Center
2006-05-07,123,East
2006-05-07,464,Far West
2006-05-07,415,West
2006-05-08,526,Center
2006-05-08,41,East
2006-05-08,189,Far West
2006-05-08,66,West
2006-05-09,218,Center
2006-05-09,98,East
2006-05-09,47,Far West
2006-05-09,702,West
2006-05-10,360,Center
2006-05-10,87,East
2006-05-10,180,Far West
2006-05-10,59,West
2006-05-11,225,Center
2006-05-11,298,East
2006-05-11,137,Far West
2006-05-11,355,West
2006-05-12,589,Center
2006-05-12,11,East
2006-05-12,129,Far West
2006-05-12,114,West
2006-05-13,283,Center
2006-05-13,202,East
2006-05-13,69,Far West
2006-05-13,351,West
2006-05-14,317,Center
2006-05-14,93,East
2006-05-14,206,Far West
2006-05-14,496,West
2006-05-15,124,Center
2006-05-15,191,East
2006-05-15,448,Far West
2006-05-15,116,West
2006-05-16,190,Center
2006-05-16,172,East
2006-05-16,629,Far West
2006-05-16,54,West
2006-05-17,126,Center
2006-05-17,638,East
2006-05-17,146,Far West
2006-05-17,42,West
2006-05-18,82,Center
2006-05-18,213,East
2006-05-18,465,Far West
2006-05-18,53,West
2006-05-19,95,Center
2006-05-19,111,East
2006-05-19,594,Far West
2006-05-19,71,West
2006-05-20,2,Center
2006-05-20,280,East
2006-05-20,39,Far West
2006-05-20,570,West
2006-05-21,192,Center
2006-05-21,228,East
2006-05-21,343,Far West
2006-05-21,12,West
2006-05-22,59,Center
2006-05-22,330,East
2006-05-22,73,Far West
2006-05-22,395,West
2006-05-23,485,Center
2006-05-23,209,East
2006-05-23,213,Far West
2006-05-23,3,West
2006-05-24,240,Center
2006-05-24,262,East
2006-05-24,223,Far West
2006-05-24,43,West
2006-05-25,55,Center
2006-05-25,116,East
2006-05-25,207,Far West
2006-05-25,438,West
2006-05-26,272,Center
2006-05-26,264,East
2006-05-26,303,Far West
2006-05-26,135,West
2006-05-27,134,Center
2006-05-27,513,East
2006-05-27,257,Far West
2006-05-27,225,West
2006-05-28,85,Center
2006-05-28,243,East
2006-05-28,267,Far West
2006-05-28,205,West
2006-05-29,174,Center
2006-05-29,576,East
2006-05-29,250,Far West
2006-05-29,4,West
2006-05-30,144,Center
2006-05-30,313,East
2006-05-30,57,Far West
2006-05-30,402,West
2006-05-31,201,Center
2006-05-31,128,East
2006-05-31,485,Far West
2006-05-31,147,West
2006-06-01,579,Center
2006-06-01,100,East
2006-06-01,55,Far West
2006-06-01,132,West
2006-06-02,216,Center
2006-06-02,278,East
2006-06-02,304,Far West
2006-06-02,278,West
2006-06-03,68,Center
2006-06-03,323,East
2006-06-03,225,Far West
2006-06-03,318,West
2006-06-04,40,Center
2006-06-04,46,East
2006-06-04,97,Far West
2006-06-04,796,West
2006-06-05,27,Center
2006-06-05,119,East
2006-06-05,870,Far West
2006-06-05,32,West
2006-06-06,45,Center
2006-06-06,133,East
2006-06-06,400,Far West
2006-06-06,365,West
2006-06-07,69,Center
2006-06-07,510,East
2006-06-07,175,Far West
2006-06-07,283,West
2006-06-08,248,Center
2006-06-08,573,East
2006-06-08,396,Far West
2006-06-08,2,West
2006-06-09,613,Center
2006-06-09,216,East
2006-06-09,22,Far West
2006-06-09,18,West
2006-06-10,240,Center
2006-06-10,10,East
2006-06-10,498,Far West
2006-06-10,102,West
2006-06-11,367,Center
2006-06-11,446,East
2006-06-11,70,Far West
2006-06-11,43,West
2006-06-12,351,Center
2006-06-12,591,East
2006-06-12,27,Far West
2006-06-12,66,West
2006-06-13,473,Center
2006-06-13,202,East
2006-06-13,63,Far West
2006-06-13,74,West
2006-06-14,147,Center
2006-06-14,463,East
2006-06-14,382,Far West
2006-06-14,97,West
2006-06-15,78,Center
2006-06-15,15,East
2006-06-15,125,Far West
2006-06-15,469,West
2006-06-16,0,Center
2006-06-16,493,East
2006-06-16,242,Far West
2006-06-16,312,West
2006-06-17,53,Center
2006-06-17,289,East
2006-06-17,469,Far West
2006-06-17,36,West
2006-06-18,64,Center
2006-06-18,257,East
2006-06-18,154,Far West
2006-06-18,342,West
2006-06-19,523,Center
2006-06-19,278,East
2006-06-19,16,Far West
2006-06-19,57,West
2006-06-20,374,Center
2006-06-20,277,East
2006-06-20,261,Far West
2006-06-20,77,West
2006-06-21,12,Center
2006-06-21,297,East
2006-06-21,477,Far West
2006-06-21,103,West
2006-06-22,198,Center
2006-06-22,305,East
2006-06-22,36,Far West
2006-06-22,322,West
2006-06-23,126,Center
2006-06-23,206,East
2006-06-23,312,Far West
2006-06-23,340,West
2006-06-24,73,Center
2006-06-24,473,East
2006-06-24,11,Far West
2006-06-24,311,West
2006-06-25,165,Center
2006-06-25,745,East
2006-06-25,11,Far West
2006-06-25,59,West
2006-06-26,469,Center
2006-06-26,208,East
2006-06-26,241,Far West
2006-06-26,56,West
2006-06-27,24,Center
2006-06-27,137,East
2006-06-27,77,Far West
2006-06-27,589,West
2006-06-28,20,Center
2006-06-28,251,East
2006-06-28,135,Far West
2006-06-28,475,West
2006-06-29,150,Center
2006-06-29,383,East
2006-06-29,177,Far West
2006-06-29,333,West
2006-06-30,250,Center
2006-06-30,303,East
2006-06-30,289,Far West
2006-06-30,65,West
2006-07-01,126,Center
2006-07-01,215,East
2006-07-01,264,Far West
2006-07-01,306,West
2006-07-02,477,Center
2006-07-02,107,East
2006-07-02,100,Far West
2006-07-02,60,West
2006-07-03,309,Center
2006-07-03,23,East
2006-07-03,250,Far West
2006-07-03,464,West
2006-07-04,428,Center
2006-07-04,38,East
2006-07-04,234,Far West
2006-07-04,33,West
2006-07-05,347,Center
2006-07-05,264,East
2006-07-05,146,Far West
2006-07-05,158,West
2006-07-06,91,Center
2006-07-06,31,East
2006-07-06,225,Far West
2006-07-06,493,West
2006-07-07,104,Center
2006-07-07,547,East
2006-07-07,58,Far West
2006-07-07,44,West
2006-07-08,141,Center
2006-07-08,146,East
2006-07-08,325,Far West
2006-07-08,246,West
2006-07-09,152,Center
2006-07-09,62,East
2006-07-09,147,Far West
2006-07-09,552,West
2006-07-10,229,Center
2006-07-10,423,East
2006-07-10,26,Far West
2006-07-10,417,West
2006-07-11,741,Center
2006-07-11,57,East
2006-07-11,224,Far West
2006-07-11,22,West
2006-07-12,17,Center
2006-07-12,340,East
2006-07-12,113,Far West
2006-07-12,471,West
2006-07-13,527,Center
2006-07-13,247,East
2006-07-13,162,Far West
2006-07-13,56,West
2006-07-14,387,Center
2006-07-14,92,East
2006-07-14,125,Far West
2006-07-14,345,West
2006-07-15,320,Center
2006-07-15,105,East
2006-07-15,313,Far West
2006-07-15,93,West
2006-07-16,281,Center
2006-07-16,72,East
2006-07-16,352,Far West
2006-07-16,217,West
2006-07-17,175,Center
2006-07-17,107,East
2006-07-17,312,Far West
2006-07-17,486,West
2006-07-18,166,Center
2006-07-18,177,East
2006-07-18,706,Far West
2006-07-18,92,West
2006-07-19,24,Center
2006-07-19,369,East
2006-07-19,157,Far West
2006-07-19,350,West
2006-07-20,522,Center
2006-07-20,64,East
2006-07-20,346,Far West
2006-07-20,49,West
2006-07-21,197,Center
2006-07-21,133,East
2006-07-21,461,Far West
2006-07-21,191,West
2006-07-22,443,Center
2006-07-22,66,East
2006-07-22,219,Far West
2006-07-22,189,West
2006-07-23,204,Center
2006-07-23,97,East
2006-07-23,236,Far West
2006-07-23,468,West
2006-07-24,203,Center
2006-07-24,143,East
2006-07-24,149,Far West
2006-07-24,465,West
2006-07-25,324,Center
2006-07-25,116,East
2006-07-25,91,Far West
2006-07-25,406,West
2006-07-26,85,Center
2006-07-26,539,East
2006-07-26,71,Far West
2006-07-26,178,West
2006-07-27,541,Center
2006-07-27,134,East
2006-07-27,103,Far West
2006-07-27,253,West
2006-07-28,262,Center
2006-07-28,492,East
2006-07-28,225,Far West
2006-07-28,31,West
2006-07-29,61,Center
2006-07-29,394,East
2006-07-29,219,Far West
2006-07-29,343,West
2006-07-30,159,Center
2006-07-30,102,East
2006-07-30,176,Far West
2006-07-30,478,West
2006-07-31,12,Center
2006-07-31,688,East
2006-07-31,95,Far West
2006-07-31,213,West
2006-08-01,205,Center
2006-08-01,364,East
2006-08-01,5,Far West
2006-08-01,354,West
2006-08-02,225,Center
2006-08-02,204,East
2006-08-02,56,Far West
2006-08-02,461,West
2006-08-03,58,Center
2006-08-03,26,East
2006-08-03,192,Far West
2006-08-03,780,West
2006-08-04,394,Center
2006-08-04,88,East
2006-08-04,368,Far West
2006-08-04,118,West
2006-08-05,234,Center
2006-08-05,205,East
2006-08-05,253,Far West
2006-08-05,305,West
2006-08-06,68,Center
2006-08-06,84,East
2006-08-06,832,Far West
2006-08-06,88,West
2006-08-07,219,Center
2006-08-07,211,East
2006-08-07,159,Far West
2006-08-07,355,West
2006-08-08,35,Center
2006-08-08,336,East
2006-08-08,595,Far West
2006-08-08,75,West
2006-08-09,433,Center
2006-08-09,347,East
2006-08-09,79,Far West
2006-08-09,165,West
2006-08-10,38,Center
2006-08-10,43,East
2006-08-10,787,Far West
2006-08-10,54,West
2006-08-11,7,Center
2006-08-11,100,East
2006-08-11,529,Far West
2006-08-11,263,West
2006-08-12,251,Center
2006-08-12,114,East
2006-08-12,307,Far West
2006-08-12,248,West
2006-08-13,127,Center
2006-08-13,335,East
2006-08-13,161,Far West
2006-08-13,265,West
2006-08-14,258,Center
2006-08-14,172,East
2006-08-14,442,Far West
2006-08-14,227,West
2006-08-15,13,Center
2006-08-15,87,East
2006-08-15,43,Far West
2006-08-15,739,West
2006-08-16,85,Center
2006-08-16,235,East
2006-08-16,430,Far West
2006-08-16,34,West
2006-08-17,282,Center
2006-08-17,8,East
2006-08-17,75,Far West
2006-08-17,616,West
2006-08-18,222,Center
2006-08-18,297,East
2006-08-18,25,Far West
2006-08-18,351,West
2006-08-19,38,Center
2006-08-19,222,East
2006-08-19,451,Far West
2006-08-19,99,West
2006-08-20,521,Center
2006-08-20,246,East
2006-08-20,65,Far West
2006-08-20,73,West
2006-08-21,80,Center
2006-08-21,373,East
2006-08-21,127,Far West
2006-08-21,316,West
2006-08-22,382,Center
2006-08-22,475,East
2006-08-22,11,Far West
2006-08-22,28,West
2006-08-23,502,Center
2006-08-23,181,East
2006-08-23,273,Far West
2006-08-23,17,West
2006-08-24,128,Center
2006-08-24,220,East
2006-08-24,593,Far West
2006-08-24,1,West
2006-08-25,9,Center
2006-08-25,525,East
2006-08-25,188,Far West
2006-08-25,287,West
2006-08-26,215,Center
2006-08-26,48,East
2006-08-26,506,Far West
2006-08-26,167,West
2006-08-27,571,Center
2006-08-27,269,East
2006-08-27,181,Far West
2006-08-27,21,West
2006-08-28,237,Center
2006-08-28,79,East
2006-08-28,49,Far West
2006-08-28,537,West
2006-08-29,23,Center
2006-08-29,115,East
2006-08-29,244,Far West
2006-08-29,711,West
2006-08-30,96,Center
2006-08-30,873,East
2006-08-30,130,Far West
2006-08-30,97,West
2006-08-31,455,Center
2006-08-31,338,East
2006-08-31,164,Far West
2006-08-31,24,West
2006-09-01,135,Center
2006-09-01,152,East
2006-09-01,10,Far West
2006-09-01,640,West
2006-09-02,83,Center
2006-09-02,535,East
2006-09-02,75,Far West
2006-09-02,188,West
2006-09-03,73,Center
2006-09-03,743,East
2006-09-03,222,Far West
2006-09-03,11,West
2006-09-04,417,Center
2006-09-04,138,East
2006-09-04,0,Far West
2006-09-04,536,West
2006-09-05,474,Center
2006-09-05,499,East
2006-09-05,37,Far West
2006-09-05,90,West
2006-09-06,290,Center
2006-09-06,386,East
2006-09-06,157,Far West
2006-09-06,226,West
2006-09-07,347,Center
2006-09-07,214,East
2006-09-07,188,Far West
2006-09-07,290,West
2006-09-08,303,Center
2006-09-08,295,East
2006-09-08,109,Far West
2006-09-08,289,West
2006-09-09,10,Center
2006-09-09,75,East
2006-09-09,589,Far West
2006-09-09,296,West
2006-09-10,157,Center
2006-09-10,272,East
2006-09-10,4,Far West
2006-09-10,241,West
2006-09-11,99,Center
2006-09-11,603,East
2006-09-11,326,Far West
2006-09-11,8,West
2006-09-12,77,Center
2006-09-12,473,East
2006-09-12,405,Far West
2006-09-12,24,West
2006-09-13,270,Center
2006-09-13,101,East
2006-09-13,639,Far West
2006-09-13,8,West
2006-09-14,358,Center
2006-09-14,241,East
2006-09-14,16,Far West
2006-09-14,313,West
2006-09-15,146,Center
2006-09-15,359,East
2006-09-15,42,Far West
2006-09-15,269,West
2006-09-16,27,Center
2006-09-16,645,East
2006-09-16,80,Far West
2006-09-16,207,West
2006-09-17,345,Center
2006-09-17,126,East
2006-09-17,166,Far West
2006-09-17,282,West
2006-09-18,288,Center
2006-09-18,2,East
2006-09-18,641,Far West
2006-09-18,97,West
2006-09-19,501,Center
2006-09-19,415,East
2006-09-19,71,Far West
2006-09-19,7,West
2006-09-20,107,Center
2006-09-20,377,East
2006-09-20,54,Far West
2006-09-20,282,West
2006-09-21,0,Center
2006-09-21,604,East
2006-09-21,144,Far West
2006-09-21,394,West
2006-09-22,467,Center
2006-09-22,105,East
2006-09-22,375,Far West
2006-09-22,77,West
2006-09-23,210,Center
2006-09-23,469,East
2006-09-23,126,Far West
2006-09-23,33,West
2006-09-24,394,Center
2006-09-24,351,East
2006-09-24,170,Far West
2006-09-24,43,West
2006-09-25,286,Center
2006-09-25,208,East
2006-09-25,572,Far West
2006-09-25,94,West
2006-09-26,30,Center
2006-09-26,2,East
2006-09-26,620,Far West
2006-09-26,364,West
2006-09-27,73,Center
2006-09-27,60,East
2006-09-27,651,Far West
2006-09-27,244,West
2006-09-28,342,Center
2006-09-28,301,East
2006-09-28,47,Far West
2006-09-28,175,West
2006-09-29,364,Center
2006-09-29,194,East
2006-09-29,329,Far West
2006-09-29,27,West
2006-09-30,310,Center
2006-09-30,79,East
2006-09-30,120,Far West
2006-09-30,423,West
2006-10-01,0,Center
2006-10-01,95,East
2006-10-01,835,Far West
2006-10-01,47,West
2006-10-02,326,Center
2006-10-02,340,East
2006-10-02,226,Far West
2006-10-02,47,West
2006-10-03,273,Center
2006-10-03,516,East
2006-10-03,26,Far West
2006-10-03,71,West
2006-10-04,12,Center
2006-10-04,219,East
2006-10-04,463,Far West
2006-10-04,281,West
2006-10-05,859,Center
2006-10-05,5,East
2006-10-05,31,Far West
2006-10-05,103,West
2006-10-06,797,Center
2006-10-06,57,East
2006-10-06,124,Far West
2006-10-06,31,West
2006-10-07,453,Center
2006-10-07,136,East
2006-10-07,109,Far West
2006-10-07,75,West
2006-10-08,247,Center
2006-10-08,142,East
2006-10-08,584,Far West
2006-10-08,27,West
2006-10-09,185,Center
2006-10-09,281,East
2006-10-09,245,Far West
2006-10-09,96,West
2006-10-10,496,Center
2006-10-10,238,East
2006-10-10,88,Far West
2006-10-10,206,West
2006-10-11,83,Center
2006-10-11,185,East
2006-10-11,568,Far West
2006-10-11,85,West
2006-10-12,54,Center
2006-10-12,382,East
2006-10-12,179,Far West
2006-10-12,269,West
2006-10-13,260,Center
2006-10-13,540,East
2006-10-13,81,Far West
2006-10-13,20,West
2006-10-14,200,Center
2006-10-14,533,East
2006-10-14,23,Far West
2006-10-14,159,West
2006-10-15,251,Center
2006-10-15,281,East
2006-10-15,316,Far West
2006-10-15,186,West
2006-10-16,24,Center
2006-10-16,396,East
2006-10-16,184,Far West
2006-10-16,313,West
2006-10-17,457,Center
2006-10-17,255,East
2006-10-17,27,Far West
2006-10-17,395,West
2006-10-18,180,Center
2006-10-18,133,East
2006-10-18,678,Far West
2006-10-18,31,West
2006-10-19,80,Center
2006-10-19,99,East
2006-10-19,30,Far West
2006-10-19,657,West
2006-10-20,4,Center
2006-10-20,282,East
2006-10-20,152,Far West
2006-10-20,459,West
2006-10-21,216,Center
2006-10-21,33,East
2006-10-21,18,Far West
2006-10-21,632,West
2006-10-22,103,Center
2006-10-22,521,East
2006-10-22,13,Far West
2006-10-22,238,West
2006-10-23,351,Center
2006-10-23,232,East
2006-10-23,223,Far West
2006-10-23,210,West
2006-10-24,71,Center
2006-10-24,72,East
2006-10-24,45,Far West
